post_id,post,target,implied_statement
12025,"  "" alleged white genocide "" "" """,white people,White people are dying out.
13923," rt obama -  "" son of islam "" "" ? : #islam #islamophobia #tcot """,Muslims,Muslims are against America
1933," calls a  "" white nationalist "" "" group ; says they are "" "" white supremacist . "" "" """,Conservative whites,Conservative whites believe they are superior
19250,"rt mohammeds own words - """"treat women well for they are like domestic animals and they possess nothing themselves"""" tabari",Muslims,Muslims treat women like animals
11264,: it is in white people's interest to support iran and syria's war against isis and globalist-semitism ( israel,white people,White people support war.
1867,yes  vox wrote the book . it's very good and explicitly pro-white ( and critical of israel ) . embraces white identity politics .,White people,White people are against Israel and Jews
19353,i won't even call it black power. it's black stink!,Black people,Black people don't bathe
1747,this richard spencer is a monster for not wanting white people to be exterminated .,White people,White people should all die
793,trump supports jews . jews support whitegenocide . get the picture ?,Jews,Jews want to kill white people.
4170,if a klan couple get divorced  are they still legally brother and sister ?,white people,White people practice incest.
15089,detroit : the death of white civilisation | more : via,Minorities,Minorities push whites out
20400,watch ur mouth pesent. all they know is i love to kill,Immigrants,Immigrants should be killed
6116,jared you must reconsider naming jews white,Jews,Jews aren't white/
7411,ya i'm sure & you did say tea party = kkk and called kkk racist . but whatevs bye felicia,white people,White people are racist.
9699,i'm not sure you can be called a racist . that isn't the way it works anymore . i'm a white man so that makes me a racist automatically .,white people,White people are racist.
19866,well she looks better that obamas momma looked in her nude/porn pics,Obama,Obama mom is ugly naked.
5380,the dems are trying to re-write history & claim the high ground . true american ideals are equal and color blind .,Democrats,Democrats are trying to re-write history.
19624,they are mass purging like mad,Immigrants,Immigrants are purging and have to be deported
12548,muslims hate jews . 18c has nothing to do with islamic jew hatred .,Muslims,Muslims are hateful
4282,my opinion is amnesty will be the end of white america . and the god emperor himself will have killed it .,Minorities,Minorities want to wipe out the white race
19591,"those virus' are going rampant, need to put anti virus into effect.",Asian folks,Asian people must be controlled to prevent the spread of the virus
7980,muslims always feel provoked and offended ... that's why islam has to be banned from democracies .,Muslims,Muslims are sensitive.
8570,are patriotic native white jews permitted to join to stop the invading muslims ?,Muslims,Muslims are taking over society
20742,"uh, let the saudis track syria refugees over there. keep them out of the usa !",Syrian Refugees,Syrian Refugees should be kept out of USA.
19269,".why do fools,like dogs travel in packs?so when their food runs short, they have someting 2 eat.example a: aclu",Immigrants,Immigrants are stupid
11831,the only hate is in the empty nihilism of treasonous marxists such as yourself . you hate whites . you hate civilization . you hate beauty .,Marxists,Marxists foster hatred
1159,> a uniquely american people & history . globalists hate the south because it is american . we're all southrons .,Progressives,Progressives despise Southerners.
20559,japan has the blueprint on how to handle islam. we don't need to kick them out of the usa - we simply need to 'freeze them out' of society!,Muslims,Muslims should not be given opportunities
10053,total annual cost of illegal immigration to american citizens is expected to surpass $ 1 trillion dollars by end of 2017,Illegal immigrants,Illegal immigrants cost Americans money.
1230,blacks cannot be racist . if she was racist she would go to jail . only white devils can be racist . may,white people,white people are racist
19575,you cannot build an ethnostate without an insane amount of killing and violence,Minorities,Minorities should be exterminated.
19169,"this is the most ridiculous small sighted propagandha i have ever seen, go fuck yourselves",No specific group,This person may get harmed if they continue what made this person angry.
20785,"i'm not interested in helping you work your sickness out, you need a shrink and a pile of meds, still probably wouldn't help you. get help",Not specified,The group are sick.
6308,the alt right is not anti christianity but rather anti christian cuck . it values family  tradition  and volk not vagueness of family values,Mainstream christians,Mainstream christians are weak.
14221,hey jared  jews may look white  but they sure dont act white ! | daily stormer,Jews,Jews aren't white.
6710,: russian tv report on france's white genocide by mass immigration : white people are disappearing from all over france ... ...,Immigrants,Immigrants are taking over.
19390,we as americans best wake the frack up! this is against our constitution and our morality. these people are animals and should be treated as,Minorities,Minorities groups fighting for equal rights are animals.
5885,but white people wont be rioting . just saying .,Black people,Black people are criminals
5200,majority of american citizens want the wall  and immigration laws enforced . it's been said again and again . let trump keep his promise .,immigrants,immigrants are illegal aliens
13589,savage british man eaters ! blaming adolf hitler ! !,Minorities,Minorities are primitive and brutal.
20569,let the dogs out,Immigrants,Immigrants should be taken away
19916,anonymous will drive you back into the forest where you belong u dirty pieces of shit! #opkkk #wewilldestoryyou #weareleigon,Immigrants,Immigrants should be deported
20006,"bring back slavery? oh well, there goes the $433k cotton stripper.",Black folks,Black people are ignorant
3149,dr . david duke : will the white race survive ? ( video ) | read more :,non-white people,non-white people are invaders
20524,"no shit. free groceries, medical, and a social security check you didn't contribute to? uhhhyeah #illegalbuttheyaintdumb",Illegal Immigrants,Immigrants receive benefits they didn't pay taxes for
11081,yes we don't to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr,Mexicans,Mexicans think all white people are racist.
3258,i dream of sending an alt-right expeditionary force to help defend our kith and kin in south africa .,Blacks,Blacks are violent and aggressive.
6960,i don't think there are enough white players in the nba ! they must be racist ! al sharpton please call an emergency meeting !,white people,White people are oppressed in sports.
19729,we can only hope these neanderthals run into those of us packing heat. guarantee it's not gonna go well for the jihadis.,Muslims,Muslims should be killed
2838,"  "" : multicultural horror : 20 non-white muslim "" "" refugees "" "" rape 11 year old swedish girl in bathhouse | kill that rubbish ! """,Muslims,Muslims are rapists
2629,the psyche is fairly simple . white people deserve to be proud of their heritage and their own nations .,whites,whites are racist
10362,: four adopted children  not a single one white . what kind of self-loathing and / or white savior complex caus,white people,White people don't adopt white children.
19459,white power black parasite. blacks have contributed nothing to humanity.,black folks,Black people are useless
20046,i'm jewish & support lgbtq rites. guess i'll be helping the gays take u 2 concentration camps.,Gay people,Gay people should be prosecuted
11831,the only hate is in the empty nihilism of treasonous marxists such as yourself . you hate whites . you hate civilization . you hate beauty .,white people,White people are civilized and beautiful.
6435,white genocide ? your buddy glenn miller murdered three white people including a teenage boy,white people,White people are being killed.
8491,: black activists call for lynching and hanging of white people and cops,Blacks,Blacks advocate violence
18002,jew killed by a non jew in isreal there is outrage . white children killed by non whites in a white country ; silence .,non-white people,non-white people are violent
4416,sweden : arab immigrant beats indigenous boy because of his blue eyes | read more : via,Immigrants,Immigrants are violent criminals.
7764,gee i wonder why . why dont you tell us more about how ( ( ( you ) ) ) hate all white people ?,Minorities,Minorities subscribe to hatred of whites.
11354,because i am an honorary white person here to save the whites from #whitegenocide,white people,White people care about white people.
2242,from china to india to egypt to meso america  all ancient white civilizations were destroyed by diversity .,People of color,People of color destroy white civilizations
19662,why don't they ever dream of returning to their 3rd world cesspools and turning them into 1st world civilizations?,Immigrants,"The countries that the immigrants came from are 'cesspools' and they should return to their countries instead of staying in the US, and turn their own countries into a 1st world country."
20642,"950, 000 waiting deportation, deport them what we waiting for and go after the others, where are new judges to speed up",immigrants,Immigrants don't belong
10842,since u support trump your probably racist too like the rest of us deplorables !,Trump supporters,Trump supporters are racist.
19126,"flood: feds predict another 127,000 illegals this year via #border #secureourborder #noamnesty",Immigrants,Immigrants are coming illegally to the country.
16382,the left will not stop - own them by triggering their anti-white hate - you win,leftists,Leftists hate the white people.
11123,"  "" white genocide "" "" ... bs """,Whites,Whites are dishonest liars
15361,only hope for the white race is to form separate b / w nations otherwise we'll forever be victims of communism & class envy .,Minorities,Minorities are jealous of whites
5517,white identity politics does lift everyone . white race has been greatest good on the planet  race-wise .,Minorities,Minorities are inferior
7333,we are back to support you and you alone will win preserve our beautiful white race including hillary types,white people,White people are beautiful.
5506,white ' conquest ' of what is now us has corroded natural environment & created most destr,Whites,Whites destroy everything around them
16427,this is the cuck you wantedthe buck you called downdemarcus straddles your wife  a giantyou're not racist now,Male conservatives,Male conservatives are weak and feeble.
11456,europe should be white  your colonies are unnatural & unsustainable .,white people,White people are reliable.
4720," rt : how do you reconcile your view with the koran commanding  "" kill the """,Muslims,Muslims believe in violence.
20175,"deathpenalty or life inprisonment must be implemented on these animalsk, not mere deportation!",Immigrants,Immigrants should receive the death penalty.
16373,the federalist : please stop glorifying manufacturing jobs via #globalization #freetrade #cuckservative,White conservatives,White conservatives are dishonest and manipulative.
4359,race baiting isn't a thing . and you're standing with a trump a known white supremacist . you're complicit in the oppression of black ppl,Whites,Whites keep blacks down.
171," well  i do believe it's time for spencer to step aside . along with the retards that started the  "" white sharia now "" "" chants . """,White people,White people are stupid.
16890,done courtesy mostly by anti-white hypocrites who happen to be white .,White progressives,White progressives disdain the white race.
19517,"they are human, the worst kind, but human.",Muslims,Muslims are the worst kind of human
3564,the world has been turned upside down : kosher republic is purging the #nevertrump cucks :,jews,jews are feminine
3783," no ! remember  hate means  "" white hate "" ""  racism means "" "" white racism "" "" & hillary is innocent no matter what . """,non-white people,non-white people are the real racists
5219,muh traditionalism includes going to gay weddings #cuckservative,Conservative males,Conservative males are effeminate and weak.
15195,i live in maxine waters district  she's always been one of the most racist politicians in america . to her hating white people isn't racist .,black people,Black people are racist.
18506," you are ok with amalgamation of african people into  "" black "" ""  all we're doing is the same thing to become "" "" white "" "" """,Minorities,Minorities are inferior races
10378,: raymond ibrahim : the muslim will vs . the western way,Muslims,Muslims want to end western civilization.
5562,wow you guys put up more posters ! truly a major victory for the white race,non-white people,non-white people are inferior
3027,america was 95 % white until 1965 . the rest of the west was even more white . we borrow technology that works  but not other people .,whites,whites are racist
4784,. why ? muslims can't be white ? what race is the jihad massacre of innocent civilians again ? i keep forgetting .,Muslims,Muslims advocate for the murder of innocent people.
6983,i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .,non-whites,Non-whites aren't as deserving as whites.
20055,"oh goodie! more unwanted babies, just what the world needs. celebrate!",Immigrants,Immigrants should not reproduce
2372,it's okay to be a racist as long as your not white,People of color,People of color are allowed to be racists
20165,deport all illegals !,Illegal immigrants,Illegal immigrants are useless
20830,"Via @VDARE‍, article on how the death penalty improved the European gene pool by removing the most violent and least religious young men: https://www.vdare.com/articles/death-penalty",Black folks,Black people should get death penalty
6008,hunt for white women : black racist serial killer confesses to 41 murders | read more : via,Blacks,Blacks are vicious murderers.
8889,me too yet they allow islamic hate preachers in that want to kill us ! !,islamic,islam wants to kill Americans
1840,who is going to foot the bill when the white people are gone ?,non-white people,non-white people are irresponsible
20546,"don't waste precious white,black,latin lives on firefighting.throw pakistani,iranian,islamic,jewish apes into","Muslim, Jewish people",Comparing these groups with animals and saying they are not worth living.
3793," rt  "" white privilege "" "" is when the gun jams of the gang banger trying to kill you . #fergusonoctober """,minority groups,people in minority groups are all in gangs
13414,jewish harvard professor wants to abolish the white race ! via,Jews,Jews want whites to be wiped out.
2155,blood & honour - white aryan resistance t-shirt from the white resister va,white people,White people are superior.
14843," radical muslims will try to kill you .  "" moderate "" "" muslims try to kill your culture . that is jihad . """,Muslims,Muslims are killers.
19843,"omg, quit following the law, we need to sell tennis shoes",Immigrants,Immigrants do not follow the laws
10963,treacherous  scheming jews bully germans into paying romanian holocaust survivors,Jews,Jews use intimidation to get their way.
7300,this moderate is starting to hate antifa more than i hate nazis .,Progressives,Progressives are substandard.
9185,which non white populations do you demand ' mix ' and ' blend ' their countries out of existence  anti white ? #whitegenocide,Minorities,Minorities want to wipe out the white race.
20262,"well, they should be. fight, alienate em, on behalf of our 'allies' invite em here! duh!",Immigrants,Immigrants should be allienated.
14790,you're the reason everyone hates white people,Whites,Whites create problems.
4782,. on #periscope : the cuckturians assaulting white nationalists : the latest,conservatives,Conservatives hate white nationalists.
15905,antifa is code word for anti-white #whitegenocide #berkeley,Leftists,Leftists are opposed to white culture
3433,op ; white storm #wpww #whitegenocide,White people,White people should die.
20485,he brought them here to have his own enemy combatant army to inflict islam on us. round them up. send them back,Muslims,Muslims should be deported
12722,the comment was more of a conditional : white people must not be fractured or we'll may,Minorities,Minorities want to divide whites
19944,"we need to keep these scums out of our country. kiss our white rebel asses,",immigrants,Immigrants do harm to the country
19655,cheese eating surrender monkeys who know nothing about foreign policy,Immigrants,Immigrants are ignorant
20258,zero illegal persons in the united states should be left unevaluated or allowed to believe they have rights- see switzerland+germany+compare,Immigrants,Immigrants should be deported
20115,"native americans were here first, there's no denying it, and they didn't secure their borders. see what happens?",Immigrants,Immigrants threaten the country
14039,a racist : any white man who argues with a jew .,white people,White people don't like Jews.
12188,: there is no trust on immigration reform when 1000s of criminals are released instead of deported,Immigrants,Immigrants are criminals.
20435,deport those little turds!!,Immigrants,Immigrants should be deported
19793,"and then a trans man with a vagina comes into the womens bathroom and all the women start complaining about a man in the bathroom.dude,logic",Transgender people,Transgenders are perverted
631,not just the brits but eurocucks and the elitist white cucks here too .,White people,White people think they're superior to everyone else
5513,white genocide accelerates in england : white british pupils will be outnumbered by 2037 #waronwhites,White people,White people are declining in England
11173," rt berlin : muslims chanting  "" allahu akbar "" "" & "" "" jew  jew  coward pig "" "" . hitler would be proud . #trumpaddress #jointaddress """,Muslims,Muslims don't like Jews.
13676,there are no white people holding you down in jamaica or zimbabwe or ethiopia or liberia . #freedomfailed,Black people,Black people are to blame for their failures
243,: nice to know that tsunami didn't dampen their energy to stay in the 7th century .,Muslims,Muslims want to subject the world to SHaria Law
6811,but the reality is that many of them want the white man's civilization without the white man in it .,white men,White men are better at civilizing.
19276,"with fake diploma fake degree fake graduation degree, indian can easily cheat merit base immigration..",Indians Immigrants,Indians fake the immigration requirements.
6247,rip white race ? europe may well be on its last legs  germany may become banana republic without,white people,White people are dying.
4748," they also said  "" white lives matter "" "" . only anti-white bigots could oppose these messages . """,Progressives,Progressives are in opposition to whites
19816,"hey, don't you know christmas is offensive and oppressive?",Christians,Christians' Christmas is offensive and oppressive
7086,merlan provides us with another example of why jews should be excluded from white countries #withjewswelose,Jews,Jews shouldn't be allowed into white countries.
20604,take the money away from sanctuary cities,Immigrants,Immigrants livelihood should be destroyed
15199,i opine  today's america supports jews  chinese  migrated muslims and all races but neglecting its white aborigines !,Minorities,Minorities are given special consideration
19128,if you have family here that are illegals and criminals.. oh well,Immigrants,Immigrants are criminals
4781,. hung black men are a symbol of white supremacy too  can we get rid of them as well ?,black men,Black men have big penises.
5061,i am sure he hasnt just another lie on the road to the white house to destroy america . if they came here illigslly they need to leave now that is fair to americansnn,Immigrants,Immigrants are hurting America.
5388,the last stand of implicit white identity .,non-white people,non-white people are inferior
20649,that means the daca people only not amnesty for all! and the daca people w/b processed to the fullest extent fee and investigation,Immigrants,Immigrants have to be deported
14096,beautiful white life !,White people,White people are beautiful.
19505,"feel for ya man, im native cali, these libturds ruined this state & now want to retire in nice states like yours.theyre a disease. sorrybro",Immigrants,Immigrants are a disease
13731,wants america white again w / white supremacist support . refuses 2 disavow trump 4 klan ' 16,white people,White people are superior.
19527,"we're importing crooks, terrorists, 3rd world savages don't even know how to use flush toilet. they want us terrorized, all there is to it.",Immigrants,Immigrants are criminals
1172,aggressive hiv strain causes aids faster - african expected to bring it to the usa and europe via,Africans,Africans spread AIDS.
8491,: black activists call for lynching and hanging of white people and cops,black people,Black people want to kill white people.
15574,we are going to be free white and proud . your pc prison will not hold us forever ... a white,white people,White people should be proud.
16013,excellent ; just listening to moving speeches from enoch and sacco - those against white identity reaff,Whites,Whites are supremacists
291,another white fourteen year old gang-raped by africans in norway via #wpww,Africans,Africans rape white people
11686,no good tydings rt : communism is a tomb . that is why liberals want to put whites there .,Liberals,Liberals are anti-white
19804,"buh bye deplorable, no time for rancids.",Poor people.,Poor people are disgusting.
20098,"i don't carei bet when he says """"allahu ackbar"""" it's pretty damn cute",Muslims,Muslims are terrorists
4722," rt antiwhites expose their hatred of white kids after seeing this picture . white child =  "" white supremacy "" "" """,Anti-whites,Anti-whites hate white people
7481," it's because they are a bunch of  "" w . i . n . o's "" "" ( cucks who are "" "" white in name only "" "" )  who are too afraid to be pro-white ... """,Conservative males,Conservative males are cowards
20630,"they dont want to win debate, they want to stop the debate from taking place! you stop them. poison them",No specific group,See above
20074,"well, you can escape all the terrible white oppressors and build your black paradise?",Black folks,Mocking Black people demands for equal rights.
19874,liberal hippie bs ! go to the middle east and let's see your welcome strangers theroy !,Immigrants,Immigrants should be deported
19628,"yes, and america was constructed entirely of cotton products.",Black people,Black people exist to serve white people
7639,already destroyed 2/3 of christendom & people still don't get it . & jews tell us,Jews,Jews are against Christians.
13259,fuhrer was a genius ; see his analysis : adolf #hitler explains,Minorities,Minorities are subhuman
12820,we hindus offer lord krishna's package to muslims--give us 3 temples and keep 39997 masjids . i hope muslim leaders don't become duryodhans,Muslims,Muslims are violent
15581,we're you better off under sharia ? the white people saved what was left of your country your welcome to learn your history,sharia,Sharia is bad.
17858,happy mother's day to all the wonderful #aryan moms out there . thank you !,Aryan mothers,Aryan mothers are the best.
6199,not quite . white ppl like u r poor representatives of the white race and what most of us believe,white people,White people are against the white race.
18806,lol  something with such a non offensive message is still considered racist  white supremacist and extremist .,Whites,Whites are racists and bigoted.
20662,let jihadi justin know so he can start budgeting his next 10.5 million settlement.,Muslims,That all Muslims are following jihad
11116,"  "" hes a very good boy "" "" mt : seriously  wtf ? : gawker : let black people steal your iphone """,black people,Black people are thieves.
14035,= = = has shown he puts illegal aliens  refugees before us citzens .. he must be defeated .,US citizens,US citizens are more important than aliens.
12445,in meantime whites / alt-right must focus on helping themselves and establishing their own web tech to ev,white people,White people need to stick together.
13501,norwood to bring back white rule to atlanta ? via,white people,White people should be in charge of Atlanta.
583,maybe because somalis have a habit of being criminals people hate them ?,Solmalis,Solmalis are criminals.
13784,white lives matter event page via,white people,White people are important.
20753,"they should be hit in the face when it's quite obvious you better punch her 1st, before she does you. self-defense.",Women,Women have to suffer violence
12912,yes white people in general are the new jews for the new kkk / antifa .,Alt-left Progressives,Alt-left Progressives hate whites.
19715,";.cant lick em,noon emold age moo tactics,as soon as deah gets de upper hand,bow down now! alahuakbaarrrr",Muslims,Muslims are inferior and must bow to the west
13861,you're my favorite white supremacist,Minorities,Minorities are inferior
19785,"then you are living in an imaginary mzansi , go watch kalushi and learn a few things.",Immigrants,Immigrants are stupid
3439,our people really don't need minorities . we built the world's great empires without poc . they need us  not the other way around .,People of color,People of color aren't needed and are inferior to white people
10830,saturday night live celebrates the end of the white race | daily stormer,white people,White people are dying out.
4731," rt quran commands warimam in britain says war is comingliberals demand more muslimsdemocrats are the  "" stupid party "" "" """,Liberals,Liberals like Muslims
18485," rt nyt portrays hungary as third reich by invoking camps ;  "" wholly ignores influx of jihadists it is seeking to deter """,Muslims,Muslims are terrorists
20771,the illegals ate your dog! end sanctuary cities.,Immigrants,Immigrants should be deported
20034,you sick cuntgo jump on your black boyfriend slithering slut!,Black,Black people are vagabonds.
19592,honest human is torn apart by hyena breed greedy admin betrayals ppl real sheep's,Immigrants,Immigrants are greedy and murderers
19831,and if some horny lesbian watches you pee you're in with it? not disgusting at all. duh,Lesbians,Lesbians are gross
19390,we as americans best wake the frack up! this is against our constitution and our morality. these people are animals and should be treated as,Immigrants,Immigrants are savages
6208,ok so white people are the only people not allowed to be proud . fact . white males are the most disadvantaged when it comes to societal pressure / government subsidiesthe founding fathers were white supremacists so was my great grandfather . every non white person is a supremacist,Minorities,Minorities feel superior to whites.
19487,ya know that james craig is a neanderthal evolutionary through back & an irrelevant jackin off jesus junkie bigoted breeder..like you,Politicians,Politicians are the bad of the society
19499,educate yourselves abt this important issue: this barbaric enemy will out breed you & take over your counties..wake up,Immigrants,Immigrants should not be allowed to take over the country
18106,pakistani gangs rape of white girls was not racist  says sentencing judge via,Pakistanis,Pakistanis rape white girls.
16779,all the founding fathers of the us were all white men . white people couldn't immigrate to a non-existent country  they created one .,Immigrants,Immigrants are leeches
12305,dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster,Democrats,Democrats are manipulative liars.
20840,Pedos going down,Pedos,Pedos should be killed.
20426,islam is threat to whole world wake up leaders ! those who appease them do it at your own peril ! ban islam !,Muslims,Muslims are dangerous
12342,from liberal white guilt or something . u think nationalism is white nationalism ? this is bigger than race . first is good 4 all americans,Liberals,Liberals think that white people should feel guilty.
13794,white pride worldwide t-shirt #swrm via,Minorities,Minorities are subpar races of people.
14661,unguys r so incredibly passe  irrelevant  ignorant of value  don't know that jews r white  that jesus is jewish . god loves all people,People of color,People of color are inferior
7049,jews rejoicing at the prospect of the end of the white race,Jews,Jews hate white people.
13651,the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar,non-whites,Non-whites don't like white people.
2466,nonsense . monuments to evil still remain . washington jefferson they owned slaves it's good . white race might will never die due to ignorance,whites,whites are ignorant racists
9993,the california gop convention is under siege by protesters with mexican flags,Latinos,Latinos in the US are not patriotic
3736,you mean  like ... white people ? because the us was native american land before it was stolen .,White people,White people steal from native Americans
20024,"absolutely insane. try that crap anywhere in central america and you end up buried in a desert somewhere. here, we give you 200k.",Immigrant,Immigrant countries are wild
9201,white massive revolution !,Minorities,Minorities instigate against whites.
15999,donald trump is going to kill the and i couldn't be happier . it's a party dedicated to destruction of white america,non-white people,non-white people are a threat
20411,"sanctioned?!? deported, then finally shipped out to a remote island for repeated offenses. *lol* #endtheinvasion",Immigrants,Immigrants should be deported
19115,"now u have to pull out the dumb card, usually what happens when sub 100 iq pe",Immigrants,Immigrants are uneducated
15819,3 . no  you're an anti-white marxist seeking to bring down white people - by your own admission .,Marxists,Marxists are looking to destroy the white race.
156," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """,Muslims,Muslims are barbaric.
10996,we must learn from #history to be successful in our bid for #freedom #peace & #justice ( national-socialism ):,Minorities,Minorities are inferior races
17642,60 - yr old arab sheik buys 3 indian sisters aged 1719 & 20 for $ 100 / - each #myjihad muslims,Muslims,Muslims marry women much younger than them.
19350,"everywhere y'all touch equal hell,disease & death..",IMMIGRANTS,IMMIGRANTS ARE DIRTY AND OVERALL BAD
2815,you can expel white muslims too ! white christians is pretty much the basis of the identity .,Whites,Whites are racist.
2958,1 godfather of alt-right / white nationalists ~ jared taylor concured w / controversial book the bell curve findings on iq & race,Minorities,Minorities are unintelligent
7374,white men must act to save the honour of white women and girls .,white women and girls,White women and girls are in danger.
12366,he'd tell you the same today . noticing adverse events involving black people is racist .,Blacks,Blacks keep double standards
19751,"imagine the memories they'll form while starving, cold, and violently abused. last a lifetime.",Immigrants,Immigrants should die
2108,amna  you hate whites . why do you live in a white country ? please repatriate yourself to your country of origin .,white people,white people are racist towards white people too
4748," they also said  "" white lives matter "" "" . only anti-white bigots could oppose these messages . """,White people,White people think they are special.
12518,majority of the black people die because of abortion and more white people die in the hands of cops than blacks wake up all lives matter,cops,Cops kill white people.
13289,happy birthday to a tremendous hero : adolf hitler ! let's honor his life with consistent outreach activism ! ! help the anp save the white race,white people,White people are in danger of not dying out.
8376,"  "" you answered my question "" "" no  i asked you a question . 95 % of the men who won ww2 were against interracial dating  gay marriage & the replacement of white america through mass immigration . are people with those beliefs today nazis ? """,Gays,Gays are abnormal.
3972,barbara spectre : muslim invasion into europe a good thing -,Muslims,Muslims are violent
15079,daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,non-white people,non-white people are terrorists
14906,- muslims don't have a problem with selling drugs and alcohol to non muslims . easy to control addicted people .,Muslims,Muslims want to be in control.
18008,john friend's blog : the realist report - john kaminski & john de nugent : resisting the jew world order :,Jews,Jews run the world.
202,* threatened .. no jmac .. he black too but don't arrest him,Black people,Black people are criminals
20663,"#noamnesty ,forward deployment is economic security.",Political criminals,Political criminal don't deserve asylum
20794,deport islam back where they came from,Islam people.,Islam people should be deported.
9868,pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,Minorities,Minorities are incompetent to meet their own needs
12716,the #gaylobby needs the opioid crisis in order to fulfill #gaymarriage adoptions.the donald is a businessman . sure,Gays,Gays are self-serving
20163,disgraceful. embarrassing. please have all incoming refugees from the banned countries go to hawaii!,Immigrants,Immigrants should be deported
8224,very existence of white race hinges on trump =,Minorities,Minorities are crowding out whites.
13475,muslim sources tell them to kill all nonbelievers . western society reports on their hate .,Muslims,Muslims preach hatred and killing.
13792,white pride world wide,White people,White people are superior to other races
12548,muslims hate jews . 18c has nothing to do with islamic jew hatred .,Muslims,Muslims hate Jews.
14398,melding marxist socialism with jewish vulture capitalism + jewish corporatism = national socialism + fascism,Jews,Jews are greedy
11791,sure  i want to destroy the enemy  but larping with gay swastika shir,Minorities,Minorities are less than whites
823,we cannot overcome man if man mixes with different races who do not even have the required iq ( low iq ) to even understand nietzsche's work,non-white people,non-white people are low IQ
6709,: race war in manhattan : black power militants storm restaurants and harass white patrons,Black people,Black people are violent
18629,bruh go eat your leaves & unseasoned chicken . smh you really tryna come for us . foh #kkk,Minorities,Minorities are primitive
5413,there people cost us  the tax payer  $ 130 million a yr mininum . this will open wider the border !,immigrants,Immigrants cost the country.
18695,happy white genocide,Minorities,Minorities are killing the white race
19709,starvation and barrel bombs.,Immigrants,Immigrants should die
2661,this is why white advocacy is important ... they want you dead . wake up white people  stand up for yourselves .,non-white people,non-white people are threatening
20833,As if killing a few people who deserved it means you are the most right wingest that ever existed or something,Right Wing,Right wing are killer.
9518,beware the average white man via,white people,unspecified
12942,your are saving face with muslims in general so you do not get fire bombed . the candy coating does not cut it .,Muslims,Muslims are violent
15028,belgium : non-white invader rapes white woman after dont rape course | read more : via,People of color,People of color are rapists
18392,why does islam have to be forced on people ? kill people who renounce it ? kill those of other faiths ?,Muslims,Muslims force their religion on others
7769,get ready for obama & his militant leftists to start attacking doctors . #prolife,Leftists,Leftists are dangerous.
4960,didn't a white guy recently kill loads of white people recently  it was fairly big news,Whites,Whites are murderers
4284,my white guardians would never again with white people like you because their relationship with christ .,Non-christian whites,Non-christian whites are untrustworthy.
1924," already the media has changed from  "" white supremacists "" "" to "" "" white nationalists  "" "" a clear sign of normalization of wn """,Minorities,Minorities are second class citizens.
3377,minnesota beat vermont for the title of the most cucked state in america . there's a reason white privilege billboards  conferences are there,White people,White people are cucks
19891,"in italy we call this type of woman how you say, piggo porko",fat women,Fat women are not worthy of respect and should be called names so that they feel ashamed
7672,be glad for it ! white people are getting an eyeful of black arrogance and are realizing we are right !,Blacks,Blacks see themselves as superior.
20677,islam and muslims should be completely eliminated through any means from all western nations. no exceptions. #removekebab,Muslims,Muslims should be eliminated
6614," the evil reading koran (  "" 26 different korans "" "" ) is so dangerous that muslims might find out jesus is god and not jihad for momo """,Muslims,Muslims are evil
9985,the #trucons inside the #cagopconvention are probably ready to surrender to the mexican forces . california isn't the hill to die on .,Mexicans,Mexicans are at war with conservatives
15647,why your white be proud of your own race and look out for your own race just like obama looked out just for his own race,Minorities,Minorities are inferior races
17172,of course it leads only to the extinction of the white race .,white people,White people are dying out.
18253,the worlds biggest racists are actually brown people while white people are the least racist #,brown people,brown people are bad and hate white people who are good.
601,muslims kill non-muslims because they kill non-muslims . period . vj is a hate america first-er . that's why obama hired him .,Muslims,Muslims like violence
2141,behind mongrelization of white,Minorities,Minorities are a devolution of whites.
10457,but after last night  white self hating baby boomers are trying to make there ca,White people,White people are self hating
8749,how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,white people,White people kill other white people.
139," right ? what good is  "" white supremacy "" "" if it leads to a white minority . """,non-white people,non-white people want to displace white people
20318,i think we knock off the hearings for illegals and us the taxpayers will gladly cough up the money to repatriate them to where the hell they come their foreheads so we know they got deported in case they come back,immigrants,Immigrants should be departed.
20772,"rn't really scary, let u.s. concealed carry & ul see how cowards dee r.",Immigrants,Immigrants are all cowards
7164,race hate rape of 1400 white english girls . muslims decide non-cooperation with british police :,Muslims,Muslims rape white women
6217,pathological altruism . the nail in the coffin for the white race .,Whites,Whites are too nice
1032," rt you can't claim  "" domestic terrorism "" "" is not a ' muslim monopoly ' while also claiming this domestic radical muslim isn't a terrorist #fresno """,Muslims,Muslims are terrorists.
1223,black on white crime unveiled : via,Black people,Black people are criminals
